,Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
0,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"335,876","2,316,983",0,E
1,2009,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,220,"8,184",0,E
2,2009,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"82,525","341,296",0,E
3,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,"1,392","7,972",0,E
4,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,504,"11,937",0,E
5,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"102,850","801,337",0,E
6,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"111,367","536,263",0,E
7,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,315,"3,024",0,E
8,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"54,244","988,050",0,E
9,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"308,404","1,087,840",0,E
10,2009,IMP,GROUNDFISH OCEAN PERCH NSPF FILLET FROZEN,ICELAND,"2,721","14,100",0,E
11,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"892,973","6,731,117",0,E
12,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"71,685","573,836",0,E
13,2009,IMP,GROUNDFISH COD NSPF FROZEN,UNITED KINGDOM,"2,342","15,954",0,E
14,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"99,840","912,479",0,E
15,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"41,721","207,463",0,E
16,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"1,346","18,608",0,E
17,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"198,938","2,354,680",0,E
18,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET SALTED,ICELAND,"116,593","621,085",0,E
19,2009,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,"140,851","1,290,971",0,E
20,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"23,710","154,202",0,E
21,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"96,842","759,473",0,E
22,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"67,545","1,241,505",0,E
23,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"48,531","307,428",0,E
24,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,544,"3,900",0,E
25,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"15,223","163,618",0,E
26,2009,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,450,"5,000",0,E
27,2009,IMP,GROUNDFISH HADDOCK FROZEN,UNITED KINGDOM,"17,569","51,784",0,E
28,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"11,900","23,800",0,E
29,2009,IMP,"GROUNDFISH CUSK,HADDOCK FILLET SALTED",IRELAND,"2,032","14,157",0,E
30,2009,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"40,345","367,730",0,E
31,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,967,"7,358",0,E
32,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,IRELAND,"4,716","28,275",0,E
33,2009,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"4,173","11,507",0,E
34,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,GERMANY,"16,983","117,096",0,E
35,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,"20,412","74,250",0,E
36,2009,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,"2,993","10,164",0,E
37,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET SALTED,IRELAND,"23,006","123,209",0,E
38,2009,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,984,"3,910",0,E
39,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"91,136","463,581",0,E
40,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,920","19,296",0,E
41,2009,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"8,520","95,475",0,E
42,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,724","13,065",0,E
43,2009,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,"1,900","24,141",0,E
44,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"11,225","74,546",0,E
45,2009,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"69,785","175,000",0,E
46,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"105,679","447,269",0,E
47,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,111","85,204",0,E
48,2009,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"290,322","557,353",0,E
49,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"8,328","109,557",0,E
50,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"347,102","2,594,121",0,E
51,2009,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,"2,068","12,956",0,E
52,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,786,"17,014",0,E
53,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"8,177","92,652",0,E
54,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"319,813","1,166,438",0,E
55,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"126,099","1,382,203",0,E
56,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"264,044","1,438,039",0,E
57,2009,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"568,931","1,421,873",0,E
58,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"8,246","33,038",0,E
59,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,984","18,156",0,E
60,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,453,724","8,626,509",0,E
61,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"4,763","22,575",0,E
62,2009,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"38,750","198,861",0,E
63,2009,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"2,952","11,635",0,E
64,2009,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"104,795","209,590",0,E
65,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"30,535","120,646",0,E
66,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"1,933,972","13,545,933",0,E
67,2009,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,"12,228","62,180",0,E
68,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"13,823","170,798",0,E
69,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"1,157,957","6,983,183",0,E
70,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"26,942","139,374",0,E
71,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"42,485","593,446",0,E
72,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,454,"6,422",0,E
73,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"181,413","886,163",0,E
74,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,UNITED KINGDOM,"7,938","68,375",0,E
75,2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"118,546","574,232",0,E
76,2009,IMP,"GROUNDFISH CUSK,HADDOCK FILLET SALTED",ICELAND,"8,600","57,654",0,E
77,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,FRANCE,"1,198","5,657",0,E
78,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,445,"10,446",0,E
79,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,"9,978","33,118",0,E
80,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,024","11,252",0,E
81,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,SPAIN,"2,040","23,113",0,E
82,2009,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"3,802,561","8,995,204",0,E
83,2009,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"180,139","390,095",0,E
84,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"20,865","82,340",0,E
85,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,FRANCE,184,"2,202",0,E
86,2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,"41,877","128,791",0,E
87,2009,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"13,173","66,792",0,E
88,2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,035,456","10,971,904",0,E
89,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,270,"6,334",0,E
90,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"8,216","74,340",0,E
91,2009,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"85,998","185,121",0,E
92,2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,"8,587","31,643",0,E
93,2009,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,"1,450","18,660",0,E
94,2009,IMP,GROUNDFISH COD NSPF FROZEN,ICELAND,240,"3,809",0,E
95,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"88,250","1,026,205",0,E
96,2009,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"16,389","123,622",0,E
97,2009,IMP,GROUNDFISH POLLOCK ATLANTIC FROZEN,NORWAY,"49,050","101,751",0,E
98,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"98,789","531,000",0,E
99,2009,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"690,966","2,932,711",0,E
100,2009,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,"3,755","32,494",0,E
101,2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"466,608","2,588,254",0,E
102,2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,90,"2,250",0,E
103,2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"4,153","133,000",0,E
104,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"87,603","1,221,075",0,E
105,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"11,875","21,594",0,E
106,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"26,913","91,116",0,E
107,2010,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"396,964","1,777,909",0,E
108,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,"3,150","13,542",0,E
109,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"368,810","2,276,138",0,E
110,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"809,478","3,886,648",0,E
111,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,FRANCE,"1,951","8,264",0,E
112,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"17,640","288,338",0,E
113,2010,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,"155,879","1,524,547",0,E
114,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,SPAIN,"2,655","25,364",0,E
115,2010,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,384,"2,246",0,E
116,2010,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"1,868","22,250",0,E
117,2010,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"157,652","309,672",0,E
118,2010,IMP,GROUNDFISH CUSK FILLET FROZEN,ICELAND,"8,482","33,560",0,E
119,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"2,235,871","16,851,943",0,E
120,2010,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"92,850","185,700",0,E
121,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"15,326","159,602",0,E
122,2010,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,371,"8,218",0,E
123,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"189,156","2,263,356",0,E
124,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,227","71,131",0,E
125,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"24,710","145,920",0,E
126,2010,IMP,GROUNDFISH COD NSPF FRESH,FRANCE,428,"4,254",0,E
127,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"9,720","45,429",0,E
128,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"14,580","105,214",0,E
129,2010,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"17,559","58,861",0,E
130,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"6,548","61,763",0,E
131,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,"14,089","58,661",0,E
132,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,089,880","8,099,341",0,E
133,2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"583,974","2,640,583",0,E
134,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"10,269","76,240",0,E
135,2010,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,680,"3,525",0,E
136,2010,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,911,"7,291",0,E
137,2010,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"867,993","10,184,574",0,E
138,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"58,723","544,135",0,E
139,2010,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,"3,480","38,867",0,E
140,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,841,"18,755",0,E
141,2010,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"7,165","20,592",0,E
142,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"3,594","41,244",0,E
143,2010,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,FRANCE,"3,240","3,386",0,E
144,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"1,200","24,204",0,E
145,2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,288,"2,119",0,E
146,2010,IMP,GROUNDFISH POLLOCK ATLANTIC FROZEN,NORWAY,"49,225","133,214",0,E
147,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"456,045","3,441,673",0,E
148,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"1,153,374","8,265,112",0,E
149,2010,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"14,846","177,606",0,E
150,2010,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"13,956","125,235",0,E
151,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"123,602","1,426,899",0,E
152,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"43,863","712,302",0,E
153,2010,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"5,921","15,394",0,E
154,2010,IMP,GROUNDFISH HAKE FILLET FROZEN,PORTUGAL,"1,021","2,141",0,E
155,2010,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"2,336","13,223",0,E
156,2010,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"256,852","1,236,484",0,E
157,2010,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"32,558","603,914",0,E
158,2010,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"1,509","21,782",0,E
159,2010,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"75,227","150,453",0,E
160,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"437,273","2,346,009",0,E
161,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,IRELAND,"9,189","28,182",0,E
162,2010,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"4,527,825","13,351,733",0,E
163,2010,IMP,"GROUNDFISH CUSK,HADDOCK FILLET SALTED",ICELAND,"5,443","34,431",0,E
164,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"90,884","486,248",0,E
165,2010,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,599,"6,996",0,E
166,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,SPAIN,"2,370","25,961",0,E
167,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET SALTED,ICELAND,"198,196","1,081,515",0,E
168,2010,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"215,275","2,105,409",0,E
169,2010,IMP,GROUNDFISH COD ATLANTIC FRESH,FRANCE,"1,463","5,737",0,E
170,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"74,037","711,358",0,E
171,2010,IMP,GROUNDFISH POLLOCK ATLANTIC FROZEN,GERMANY,"25,841","71,714",0,E
172,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,475,"12,663",0,E
173,2010,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,272,"2,310",0,E
174,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"7,938","77,655",0,E
175,2010,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"30,615","238,186",0,E
176,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,FRANCE,"8,157","42,310",0,E
177,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,"7,806","46,684",0,E
178,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,324,395","9,134,192",0,E
179,2010,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"113,023","1,442,713",0,E
180,2010,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,NORWAY,"4,899","18,272",0,E
181,2010,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"10,480","89,973",0,E
182,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,"1,348","2,762",0,E
183,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"2,105","26,800",0,E
184,2010,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"99,101","471,557",0,E
185,2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"57,100","307,172",0,E
186,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"179,120","1,358,738",0,E
187,2010,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"59,003","227,371",0,E
188,2010,IMP,GROUNDFISH OCEAN PERCH NSPF FILLET FROZEN,NORWAY,"63,683","360,314",0,E
189,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"1,044","12,972",0,E
190,2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"1,670","30,941",0,E
191,2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,859,"13,686",0,E
192,2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"19,758","95,541",0,E
193,2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"5,954","38,323",0,E
194,2010,IMP,GROUNDFISH CUSK FROZEN,NORWAY,"2,781","8,208",0,E
195,2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"178,008","2,163,316",0,E
196,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"190,445","2,517,771",0,E
197,2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,110","13,793",0,E
198,2011,IMP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,300,"2,421",0,E
199,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"67,021","1,005,557",0,E
200,2011,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,110","30,000",0,E
201,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"3,572","39,848",0,E
202,2011,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,819,"4,822",0,E
203,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"234,927","1,911,013",0,E
204,2011,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"427,213","2,383,076",0,E
205,2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,NORWAY,"2,499","23,716",0,E
206,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,PORTUGAL,"12,500","155,500",0,E
207,2011,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,218","71,400",0,E
208,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,"6,570","20,958",0,E
209,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"8,011","75,136",0,E
210,2011,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"24,882","178,279",0,E
211,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,SPAIN,"9,416","168,229",0,E
212,2011,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"405,877","3,052,444",0,E
213,2011,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"15,745","123,502",0,E
214,2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"14,275","177,073",0,E
215,2011,IMP,GROUNDFISH HADDOCK FILLET FROZEN,DENMARK,"61,109","239,804",0,E
216,2011,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"21,635","121,262",0,E
217,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,504,"11,420",0,E
218,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,135,"2,785",0,E
219,2011,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"17,020","126,648",0,E
220,2011,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"50,100","1,025,625",0,E
221,2011,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,ICELAND,"284,554","1,428,199",0,E
222,2011,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"12,338","74,358",0,E
223,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,182,030","9,424,097",0,E
224,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"8,879","109,213",0,E
225,2011,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"76,336","387,057",0,E
226,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,PORTUGAL,500,"6,448",0,E
227,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,SPAIN,"2,695","10,779",0,E
228,2011,IMP,GROUNDFISH COD NSPF FILLET FRESH,NORWAY,"1,482","8,385",0,E
229,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"13,132","143,295",0,E
230,2011,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"1,595","6,570",0,E
231,2011,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"155,035","1,941,515",0,E
232,2011,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"54,765","757,600",0,E
233,2011,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"7,457","123,101",0,E
234,2011,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"1,361","10,800",0,E
235,2011,IMP,GROUNDFISH POLLOCK ALASKA ROE FROZEN,NORWAY,"39,960","167,356",0,E
236,2011,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,NORWAY,"21,555","47,520",0,E
237,2011,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"282,013","1,325,778",0,E
238,2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"72,775","817,257",0,E
239,2011,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"18,454","70,916",0,E
240,2011,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,477,"3,941",0,E
241,2011,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,SPAIN,346,"7,728",0,E
242,2011,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,480,"3,024",0,E
243,2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"7,088","269,630",0,E
244,2011,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"496,027","2,632,930",0,E
245,2011,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"382,103","2,569,654",0,E
246,2011,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"1,807,318","14,652,256",0,E
